Prospect Id,First Name,Last Name,Email,Company,Last Activity Date,Campaign,Score,Grade,Job Title,Department,Country,City,Source,Industry,Do Not Email,Created Date,Owner,Lifecycle Stage,Created by Marketing
4033251,Jeremie,Alonso,jalonso@example.com,Clarity Corporation,01/01/2022,Email Marketing,825,B,VP Consulting,Engineering,USA,Vancouver,Social Media,Government,,01/09/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4032845,Wayne,Rey,wrey@example.com,Jim Palmer Trucking Inc.,01/01/2022,Social Media Marketing,813,C+,Director-Human Resources,Services,USA,Dallas,linkedin,Agriculture,,01/09/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4032749,Todd,Shock,tshock@example.com,L7,01/01/2022,Website,798,B+,Sales Exec,Engineering,USA,Woodland Hills,Website,Food & Beverage,,01/09/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4033135,Edwin,Louden,elouden@example.com,"Y Combinator, Inc.",01/01/2022,Event Marketing,792,C+,EVP Business Development,Sales,USA,Kalamazoo,Website,Entertainment,,01/09/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4032703,Eric,Burdette,eburdette@example.com,Story Distributing Co.,31/12/2021,Product Launch - 2021,788,A,SVP Procurement,Marketing,USA,Mt Vernon,Cold Call,Hospitality,,01/09/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4033371,John,Barnes,jbarnes@example.com,Barnes Company,01/01/2022,AdWords,781,B+,SVP Marketing,Engineering,USA,Glen Allen,Social Media,Food & Beverage,,01/09/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4033285,Dan,Claridge,dclaridge@example.com,Thompson River Lumber Co of MT,01/01/2022,Website,777,C-,Marketing Manager,Engineering,USA,Birmingham,Cold Call,Communications,,01/09/2021,sarah.moore@lenoxsoft.com,6.) Closed Lost,TRUE
4033063,Cullen,Wolf,cullen.wolf@example.com,"Runte, Greenfelder and Schmeler",01/01/2022,Social Media Marketing,776,C+,Demand Generation Manager,Marketing,United Kingdom,Leeds,linkedin,Retail,,01/09/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4033259,Brittney,Tannehill,btannehill@example.com,Vip Svc Inc,01/01/2022,Social Media Marketing,772,C+,Owner,Services,USA,Ashland,linkedin,Environmental,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4033195,Trevor,Atz,tatz@example.com,Big Blue Consulting,01/01/2022,Social Media Marketing,771,C+,SVP Marketing,Marketing,USA,Hazleton,linkedin,Insurance,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4033375,Jerome,Anderson,jerome.anderson@example.com,"Runte, Lindgren and Wolff",01/01/2022,Email Marketing,765,B+,Event Marketing Coordinator,Marketing,United States,Boston,,Telecommunications,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4032987,Frank,Cross,fcross@example.com,"Reportex, Inc.",31/12/2021,Product Launch - 2021,755,C+,Director,Services,USA,Elmhurst,Cold Call,Entertainment,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4032973,Chris,Munstertiger,cmunstertiger@example.com,Johnson-Madison Lumber Co,01/01/2022,Website,754,A,Head of Partner Relations,Marketing,USA,Huntsville,Cold Call,Government,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4033193,Laurie,Pearson,lauriepearson@example.com,Enterprisely,01/01/2022,Website,748,B-,VP Support,Marketing,USA,Baltimore,Website,Construction,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4032685,Brad,Owens,owens@example.com,Gaylord LLC,01/01/2022,Email Marketing,747,C+,Account Executive,Sales,United States,New Orleans,,Transportation,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4033223,Beth,Shuler,bshuler@example.com,"Biotech, Inc.",01/01/2022,Social Media Marketing,732,B+,EVP Business Development,Finance,USA,Richfield,linkedin,Finance,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4032663,Stella,Leannon,stella.leannon@example.com,Goyette Inc,01/01/2022,AdWords,729,C+,Business Development Representative,Sales,United Kingdom,Liverpool,,Telecommunications,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4032893,Corina,Mauro,cmauro@example.com,Western Star Trucks,01/01/2022,Product Launch - 2021,729,C+,EVP Business Development,Marketing,USA,Eaton,Social Media,Chemicals,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4033123,Dewey,Wein,dwein@example.com,SunGard Asset Management Systems,01/01/2022,Product Launch - 2021,728,C-,CEO,Sales,USA,Downey,Marketing Event,Energy,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4032911,Jeff,Rogers,jeff.rogers@example.com,Rogers Co.,01/01/2022,Product Launch - 2021,725,B,SVP Production,Marketing,USA,Denver,Social Media,Chemicals,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4032847,Ken,Salwey,ksalwey@example.com,Builders Supply Co,01/01/2022,Email Marketing,724,B-,Sales Manager,Marketing,USA,Johnston,Cold Call,Environmental,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4032877,Andrae,Fulcher,afulcher@example.com,Graymont Inc,01/01/2022,Website,722,C+,Product Marketing Manager,Marketing,USA,Peachtree City,Social Media,Consulting,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4032971,Monte,Scharff,mscharff@example.com,Cardinal Distributing,01/01/2022,Website,722,B-,VP Sales,Marketing,USA,Northborough,Social Media,Environmental,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4033201,Kisha,Hendrick,khendrick@example.com,Big Sky Computer Products,01/01/2022,AdWords,722,C+,Sales Manager,Sales,USA,Atlantic City,Cold Call,Chemicals,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4032673,Luz,Adams,luz.adams@example.com,"Trantow, Ward and Koss",01/01/2022,Email Marketing,720,B-,Event Marketing Coordinator,Marketing,Australia,Gold Coast,,Food Services,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4032739,Andrea,Wilcott,awilcott@example.com,"Hirthe, Russel and Runolfsson",01/01/2022,Website,718,C+,CIO,Engineering,United States,Seattle,,Construction,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4033165,Ryan,Giggs,rgiggs+1@example.com,O'Connell LLC,01/01/2022,Partner Collabs,717,C+,Product Marketing Manager,Marketing,Australia,Canberra,,Finance & Insurance,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4032797,Margarita,Hanes,mhanes@example.com,Beppo Restaurant,01/01/2022,AdWords,714,B+,SVP Marketing,Operations,USA,Chicago,Website,Government,,05/08/2021,sarah.moore@lenoxsoft.com,6.) Closed Lost,TRUE
4032861,Jessica,Cullen,jcullen@example.com,Genesis Incorporated,01/01/2022,Social Media Marketing,714,B-,VP Sales,Marketing,USA,Naperville,linkedin,Other,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4033353,Darwin,Ashford,dashford@example.com,Wynfrey Hotel,01/01/2022,Website,713,B+,EVP Business Development,Engineering,USA,Waverly,Marketing Event,Apparel,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4033395,Joanne,Dupont,jdupont@example.com,Williams Inland Distributors,01/01/2022,Email Marketing,712,B,EVP Business Development,Sales,USA,Henderson,Social Media,Food & Beverage,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4032635,Fatima,Rencher,frencher@example.com,"Bodie Lamps, Inc.",01/01/2022,Social Media Marketing,710,A,Sales Exec,Operations,USA,Washington,Facebook,Consulting,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4032851,Terence,Hone,thone@example.com,Torgerson Llc Havre,01/01/2022,AdWords,702,C+,SVP Administration and Finance,Sales,USA,New Albany,Social Media,Communications,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4033003,John,Stivender,jstivender@example.com,Doster Construction Company Inc.,01/01/2022,Event Marketing,699,B+,CFO,Marketing,USA,Littleton,Social Media,Hospitality,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4033391,Steve,Fetveit,sfetveit@example.com,KECI West,01/01/2022,Website,699,B+,Marketing Manager,Sales,USA,Chesapeake,Marketing Event,Government,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4032741,Odell,Walker,odell.walker@example.com,Bruen Ltd,01/01/2022,Social Media Marketing,698,B+,VP of Marketing,Marketing,Australia,Gold Coast,linkedin,Arts & Entertainment,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4032785,Gary,Pate,gpate@example.com,Midland Implement Company,01/01/2022,Email Marketing,697,C+,CEO,Services,USA,Boulder,Website,Government,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4033233,Ted,Ryder,tryder@example.com,Strategy Consultants International,01/01/2022,Email Marketing,694,C+,VP Consulting,Marketing,USA,State College,Cold Call,Hospitality,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4032983,Brandon,Grissom,bgrissom@example.com,Frontier Towing,01/01/2022,AdWords,693,C+,Senior Vice President-Operations,Marketing,USA,Onalaska,Cold Call,Biotechnology,,05/08/2021,sarah.moore@lenoxsoft.com,6.) Closed Lost,TRUE
4032829,Frank,Caster,fcaster@example.com,Hackett and Sons,01/01/2022,Email Marketing,688,C+,Customer Service Representative,Services,United States,Tampa,,Real Estate,,05/08/2021,sarah.moore@lenoxsoft.com,6.) Closed Lost,FALSE
4032717,Andrea,Bowden,abowden@example.com,Displaytech,31/12/2021,Partner Collabs,687,C+,Senior Vice President,Sales,United States,Boston,Data.com,Hospitality,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4033313,Shayla,Henke,shenke@example.com,CSC,01/01/2022,Social Media Marketing,686,B+,CFO,Sales,USA,Grimsley,linkedin,Healthcare & Life Sciences,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4032879,Jeff,Thomas,jthomas@example.com,Better Business Systems,01/01/2022,Event Marketing,677,C+,SVP Production,Engineering,USA,South Plainfield,Cold Call,Government,,05/08/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4033109,Tiffany,Quillen,tquillen@example.com,Wilbur Ellis Co,01/01/2022,Email Marketing,677,B+,EVP Business Development,Marketing,USA,Gilroy,Partner,Electronics,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4032783,Kristin,Schueller,kschueller@example.com,Montana Wyoming Systems Inc,01/01/2022,Social Media Marketing,671,A,SVP Marketing,Engineering,USA,SALT LAKE CITY,Facebook,Biotechnology,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4033049,Mertie,Strosin,mertie.strosin@example.com,Williamson PLC,01/01/2022,Social Media Marketing,670,C+,Services Manager,Services,United Kingdom,Edinburgh,linkedin,Manufacturing,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4509061,,,p.felle@pardot.com,,30/12/2021,Referral Program,668,,,,Ireland,Dublin,,,,07/06/2021,elizabeth.books@lenoxsoft.com,5.) Closed Won,TRUE
4032801,Andy,Peterson,apeterson@example.com,Nienow-Murphy,31/12/2021,Product Launch - 2021,665,C+,Marketing Director,Marketing,United States,Phoenix,Google,Retail,,07/06/2021,elizabeth.books@lenoxsoft.com,5.) Closed Won,FALSE
4033387,Dean,Sturz,dsturz@example.com,"Stoltze, F H Land & Lumber Co",01/01/2022,Email Marketing,663,A,EVP Business Development,Operations,USA,Sherman Oaks,Cold Call,Insurance,,07/06/2021,sarah.moore@lenoxsoft.com,6.) Closed Lost,FALSE
4033279,Heath,Axworth,haxworth@example.com,"Gibson, Hilpert and Hartmann",01/01/2022,Email Marketing,660,C+,Content Marketing Manager,Marketing,Canada,Montreal,,Technology,,07/06/2021,sarah.moore@lenoxsoft.com,6.) Closed Lost,FALSE
4033029,Shannon,Steptoe,ssteptoe@example.com,Great Western Petroleum,01/01/2022,AdWords,659,C+,Sales Manager,Engineering,USA,Mount Kisco,Marketing Event,Communications,,07/06/2021,sarah.moore@lenoxsoft.com,6.) Closed Lost,TRUE
4033091,Sarah,Nguyen,snguyen@example.com,Smith Industries,01/01/2022,Event Marketing,659,C+,VP of Operations,Marketing,USA,Troy,Social Media,Retail,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4032827,Lori,Gaiser,lgaiser@example.com,Rockport Colony Egg House,01/01/2022,Website,658,B,Owner,Services,USA,Red Bank,Website,Healthcare & Life Sciences,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4033159,Roman,Tindall,rtindall@example.com,TT Systems,01/01/2022,Partner Collabs,658,C-,Chief Information Officer,Sales,USA,Charlottesville,Website,Healthcare & Life Sciences,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4032899,Riley,Shultz,rshultz@example.com,Interstate Brands Corp,01/01/2022,Email Marketing,655,B,Senior Vice President-Operations,Services,USA,Normal,Cold Call,Energy,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4033349,Bettie,Veum,bettie.veum@example.com,"Kilback, Langosh and Schoen",01/01/2022,Email Marketing,653,C+,CIO,Engineering,Germany,Berlin,,Agriculture,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4032679,Sarah,Jeffries,sjeffries@example.com,Tyconet,01/01/2022,AdWords,644,B+,"SVP, Marketing Strategy",Marketing,USA,King,Marketing Event,Education,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4033099,Stacy,McNeil,smcneil@example.com,"Glover, Rogahn and Will",01/01/2022,Event Marketing,640,C-,Services Manager,Services,United States,Dallas,,Food Services,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4033295,Marci,Viviano,marciviviano@example.com,Hirthe and Sons,31/12/2021,Product Launch - 2021,639,C+,Account Executive,Sales,Japan,Kōbe,,Health Care,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4032825,Garrett,Lavoie,glavoie@example.com,Border States Electric Supply,31/12/2021,Website,634,C-,EVP Business Development,Services,USA,Lewisville,Cold Call,Electronics,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4033173,David,Adelson,dadelson@example.com,Green Fields Media,01/01/2022,AdWords,633,C+,"Director, Information Technology",IT,USA,San Francisco,Marketing Event,Technology,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4032939,Alphonso,Benninger,abenninger@example.com,Beach Transportation,01/01/2022,Social Media Marketing,632,C+,Sales Exec,Services,USA,Lexington,linkedin,Consulting,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4032953,Sophia,Wiza,sophia.wiza@example.com,D'Amore Ltd,01/01/2022,Email Marketing,630,B,Product Marketing Director,Marketing,United States,Houston,Referral,Retail,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4033245,Johan,Dach,johan.dach@example.com,Parisian and Sons,01/01/2022,Social Media Marketing,630,C+,CTO,Engineering,France,Marseilles,Twitter,Finance & Insurance,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4033367,Rachel,Morris,rmorris@example.com,,01/01/2022,Product Launch - 2021,628,C+,Sales Engineer,Sales,Canada,Ottawa,Cold Call,Finance & Insurance,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4033149,Hollie,Everhart,hollieeverhart@example.com,Carroll LLC,01/01/2022,Website,626,A,CFO,Finance,United States,Charlotte,Cold Call,Agriculture,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4033181,Darlene,Hartze,dhartze@example.com,"SGM Biotech, Inc.",31/12/2021,Email Marketing,626,C+,Sales Exec,Engineering,USA,Saint Augustine,Cold Call,Chemicals,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4032647,Kim,Crespo,kcrespo@example.com,The Home Store,01/01/2022,Product Launch - 2021,625,C+,Sales Manager,Sales,USA,Palmdale,Cold Call,Electronics,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4033011,Brannon,Toliver,btoliver@example.com,Harrington Bottling Company,01/01/2022,Product Launch - 2021,623,B+,EVP Business Development,Marketing,USA,Mansfield,Social Media,Consulting,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4032941,Ben,Petritz,bpetritz@example.com,Universal Athletic Services,01/01/2022,Email Marketing,621,B,Account Executive,Services,USA,Lake Oswego,Cold Call,Consulting,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4033311,Rebeca,Mccrory,rmccrory@example.com,Anderson's Heating Ac & Plumb,01/01/2022,AdWords,621,C+,VP Facilities,Marketing,USA,Fairfield,Website,Communications,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4033133,Damion,Halsey,dhalsey@example.com,Pyramid Construction Inc.,01/01/2022,Email Marketing,620,B+,Account Executive,Engineering,USA,Charlotte,Social Media,Insurance,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4032871,Laura,Robinson,lrobinson@example.com,"DevTech, Inc.",01/01/2022,Product Launch - 2021,619,B,Technical Systems Analyst,Services,USA,Los Angeles,Social Media,Energy,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4033071,Lee,Mccue,lmccue@example.com,Wintheiser-Block,01/01/2022,Email Marketing,617,C+,CTO,Engineering,United States,Houston,Cold Call,Finance & Insurance,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4032967,Quinn,Poirier,qpoirier@example.com,Wolf LLC,01/01/2022,AdWords,616,B,Marketing Director,Marketing,United States,New York,Cold Call,Retail,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4032999,Tenisha,Mabery,tmabery@example.com,J R Gillis Assoc,01/01/2022,Product Launch - 2021,615,B,Owner,Marketing,USA,Monterey,Website,Healthcare & Life Sciences,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4032771,Tristan,Isaacs,tisaacs@example.com,Poulsens,01/01/2022,Website,613,C+,VP Sales,Sales,USA,Los Angeles,Marketing Event,Government,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4033239,Gabe,Hotkins,ghotkins@example.com,"Daugherty, Will and Keeling",31/12/2021,Product Launch - 2021,613,C-,CTO,Engineering,United States,Salt Lake City,,Food Services,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4033327,Brad,Owens,bowens@example.com,"Aims Social, Inc.",01/01/2022,Social Media Marketing,611,B,Regional Sales Manager,Sales,USA,Cook,Twitter,Retail,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4032719,Norwood,Wendy,nwendy@example.com,"Mediamovers, Inc.",01/01/2022,Social Media Marketing,610,A+,SVP Marketing,Operations,USA,McKinney,Facebook,Government,,07/06/2021,sarah.moore@lenoxsoft.com,6.) Closed Lost,FALSE
4033143,Charla,Lecroy,clecroy@example.com,Winter Sports Inc,01/01/2022,Website,607,C+,Director,Marketing,USA,San Carlos,Marketing Event,Biotechnology,,07/06/2021,sarah.moore@lenoxsoft.com,6.) Closed Lost,TRUE
4033235,Ravi,Sing,rsing@example.com,Cherry Valley,01/01/2022,AdWords,605,B+,CTO,Marketing,USA,San Francisco,Social Media,Electronics,,07/06/2021,sarah.moore@lenoxsoft.com,6.) Closed Lost,TRUE
4032727,Maxwell,Carone,mcarone@example.com,Glenn & Wright Inc,31/12/2021,Website,604,C+,SVP Marketing,Marketing,USA,Lewisville,Marketing Event,Energy,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4032699,Javier,Sandoval,jsandoval@example.com,Walker Media,01/01/2022,Email Marketing,603,C-,CTO,Services,USA,Chicago,Social Media,Other,,07/06/2021,sarah.moore@lenoxsoft.com,6.) Closed Lost,FALSE
4033227,Robert,Simpson,rsimpson@example.com,Gusikowski Ltd,01/01/2022,Social Media Marketing,602,C+,Account Executive,Sales,Canada,Hamilton,Twitter,Construction,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4033309,Dina,Ohagan,dohagan@example.com,Bob's Pickup & Delivery,01/01/2022,Social Media Marketing,602,B,Lawyer,Marketing,USA,Austin,Twitter,Insurance,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4033385,Michelle,Huff,mhuff@example.com,Gutmann-Fisher,01/01/2022,AdWords,601,C-,Services Manager,Services,Japan,Osaka,,Real Estate,,07/06/2021,sarah.moore@lenoxsoft.com,6.) Closed Lost,TRUE
4033389,Samanta,Kulas,samanta.kulas@example.com,"Welch, Hartmann and Williamson",01/01/2022,Social Media Marketing,600,A,VP of Marketing,Marketing,United States,Portland,Facebook,Transportation,,07/06/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4033141,Jeremy,Chew,jchew@example.com,Alabama Brick Delivery Inc,01/01/2022,Product Launch - 2021,600,B-,VP Sales,Engineering,USA,Houston,Social Media,Healthcare & Life Sciences,,07/06/2021,sarah.moore@lenoxsoft.com,6.) Closed Lost,FALSE
4032799,Loren,Mark,lmark@example.com,Summit Aeronautics Group,01/01/2022,AdWords,599,A,CFO,Operations,USA,Westminster,Marketing Event,Insurance,,07/06/2021,sarah.moore@lenoxsoft.com,6.) Closed Lost,TRUE
4032789,Jack,Joseph,jjoseph@example.com,Summit Beverage,01/01/2022,AdWords,597,C+,Chief Executive Officer,Sales,USA,Santa Clara,Cold Call,Biotechnology,,07/06/2021,sarah.moore@lenoxsoft.com,4.) SQL,TRUE
4033083,Frankie,Fenwick,ffenwick@example.com,Associated Grocers,31/12/2021,AdWords,595,A,President CEO,Operations,USA,San Antonio,Cold Call,Electronics,,07/06/2021,sarah.moore@lenoxsoft.com,4.) SQL,TRUE
4032945,Bradford,Lawhon,blawhon@example.com,Discovery Ski Corp,01/01/2022,AdWords,593,C+,CFO,Engineering,USA,Springfield,Marketing Event,Chemicals,,07/06/2021,sarah.moore@lenoxsoft.com,4.) SQL,TRUE
4033215,Jan,Perkins,janperkins@example.com,Gulgowski-Bruen,01/01/2022,Email Marketing,593,C+,Product Marketing Director,Marketing,Canada,Ottawa,,Retail,,07/06/2021,sarah.moore@lenoxsoft.com,4.) SQL,FALSE
4032835,Steve,Boyce,sboyce@example.com,Boyce Lumber Co.,01/01/2022,Partner Collabs,592,A,CEO,Operations,USA,San Angelo,Cold Call,Entertainment,,07/06/2021,sarah.moore@lenoxsoft.com,4.) SQL,TRUE
4032643,Jeff,Kriegar,jkriegar@example.com,Fastturn Engineering,01/01/2022,Social Media Marketing,592,C+,CFO,Services,USA,Pace,Twitter,Hospitality,,07/06/2021,sarah.moore@lenoxsoft.com,4.) SQL,FALSE
4032759,Dave,Deller,dd@example.com,"Paucek, Jacobs and Robel",31/12/2021,Social Media Marketing,590,B,Account Executive,Sales,Australia,Sydney,Twitter,Hospitality,,07/06/2021,sarah.moore@lenoxsoft.com,4.) SQL,FALSE
4032959,Reagan,Topps,rtopps@example.com,Montola Growers Inc,31/12/2021,Website,589,C+,CFO,Services,USA,Athens,Marketing Event,Communications,,07/06/2021,sarah.moore@lenoxsoft.com,6.) Closed Lost,TRUE
4033153,Pam,Reynolds,preynolds@example.com,"Astoria, Inc.",01/01/2022,Event Marketing,589,B,SVP Procurement,Services,USA,Sun City,Social Media,Media,,07/06/2021,sarah.moore@lenoxsoft.com,4.) SQL,TRUE
4033281,Lana,Miller,lmiller@example.com,Creativenet,01/01/2022,Email Marketing,589,B,Account Executive,Services,USA,Burlingame,Website,Consulting,,07/06/2021,sarah.moore@lenoxsoft.com,6.) Closed Lost,FALSE
4033397,Eddie,Kerry,ekerry@example.com,American Silkscreen,01/01/2022,Social Media Marketing,589,B,Administrative Assistant,Marketing,USA,Merrillville,Twitter,Media,,07/06/2021,sarah.moore@lenoxsoft.com,4.) SQL,TRUE
4033013,Pat,Fanning,pfanning@example.com,Konitz Contracting Inc,31/12/2021,AdWords,588,C-,VP Purchasing,Marketing,USA,Manhattan,Social Media,Media,,07/06/2021,sarah.moore@lenoxsoft.com,4.) SQL,TRUE
4033077,Debra,Boehme,dboehme@example.com,Air Controls Co Inc,01/01/2022,Website,586,B,Director of Finance,Marketing,USA,Utica,Marketing Event,Government,,07/06/2021,sarah.moore@lenoxsoft.com,4.) SQL,TRUE
